Antecedents,Consequents,Support,Confidence,Lift,Clinical Pattern Observation
"Diag1_Diabetes, DiabetesMed_Yes","Med_Insulin_Prescribed, A1C_High (>7/8)",0.021,0.3066,3.8562,"Encounters with 'Diag1_Diabetes, DiabetesMed_Yes' frequently exhibit 'Med_Insulin_Prescribed, A1C_High (>7/8)' (Lift: 3.86x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, A1C_High (>7/8)","Diag1_Diabetes, DiabetesMed_Yes",0.021,0.2642,3.8562,"Encounters with 'Med_Insulin_Prescribed, A1C_High (>7/8)' frequently exhibit 'Diag1_Diabetes, DiabetesMed_Yes' (Lift: 3.86x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, Med_Change_Yes, High_Lab_Procedures (>=50)","Med_Insulin_Prescribed, Stay_Long (>=7 days)",0.022,0.4231,3.3445,"Encounters with 'Diag1_Circulatory, Med_Change_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Med_Insulin_Prescribed, Stay_Long (>=7 days)' (Lift: 3.34x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)","Med_Insulin_Prescribed, Stay_Long (>=7 days)",0.022,0.4231,3.3445,"Encounters with 'Diag1_Circulatory, Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Med_Insulin_Prescribed, Stay_Long (>=7 days)' (Lift: 3.34x baseline). Note: Association does not imply causation."
"Diag1_Circulatory, Med_Change_Yes, High_Lab_Procedures (>=50)","Med_Insulin_Prescribed, DiabetesMed_Yes, Stay_Long (>=7 days)",0.022,0.4231,3.3445,"Encounters with 'Diag1_Circulatory, Med_Change_Yes, High_Lab_Procedures (>=50)' frequently exhibit 'Med_Insulin_Prescribed, DiabetesMed_Yes, Stay_Long (>=7 days)' (Lift: 3.34x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, Stay_Long (>=7 days)","Diag1_Circulatory, Med_Change_Yes, High_Lab_Procedures (>=50)",0.022,0.1739,3.3445,"Encounters with 'Med_Insulin_Prescribed, Stay_Long (>=7 days)' frequently exhibit 'Diag1_Circulatory, Med_Change_Yes, High_Lab_Procedures (>=50)' (Lift: 3.34x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, DiabetesMed_Yes, Stay_Long (>=7 days)","Diag1_Circulatory, Med_Change_Yes, High_Lab_Procedures (>=50)",0.022,0.1739,3.3445,"Encounters with 'Med_Insulin_Prescribed, DiabetesMed_Yes, Stay_Long (>=7 days)' frequently exhibit 'Diag1_Circulatory, Med_Change_Yes, High_Lab_Procedures (>=50)' (Lift: 3.34x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, Stay_Long (>=7 days)","Diag1_Circulatory, Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)",0.022,0.1739,3.3445,"Encounters with 'Med_Insulin_Prescribed, Stay_Long (>=7 days)' frequently exhibit 'Diag1_Circulatory, Med_Change_Yes, DiabetesMed_Yes, High_Lab_Procedures (>=50)' (Lift: 3.34x baseline). Note: Association does not imply causation."
Diag1_Diabetes,"Med_Insulin_Prescribed, A1C_High (>7/8)",0.021,0.2545,3.2018,"Encounters with 'Diag1_Diabetes' frequently exhibit 'Med_Insulin_Prescribed, A1C_High (>7/8)' (Lift: 3.20x baseline). Note: Association does not imply causation."
Diag1_Diabetes,"Med_Insulin_Prescribed, A1C_High (>7/8), DiabetesMed_Yes",0.021,0.2545,3.2018,"Encounters with 'Diag1_Diabetes' frequently exhibit 'Med_Insulin_Prescribed, A1C_High (>7/8), DiabetesMed_Yes' (Lift: 3.20x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, A1C_High (>7/8)",Diag1_Diabetes,0.021,0.2642,3.2018,"Encounters with 'Med_Insulin_Prescribed, A1C_High (>7/8)' frequently exhibit 'Diag1_Diabetes' (Lift: 3.20x baseline). Note: Association does not imply causation."
"Med_Insulin_Prescribed, A1C_High (>7/8), DiabetesMed_Yes",Diag1_Diabetes,0.021,0.2642,3.2018,"Encounters with 'Med_Insulin_Prescribed, A1C_High (>7/8), DiabetesMed_Yes' frequently exhibit 'Diag1_Diabetes' (Lift: 3.20x baseline). Note: Association does not imply causation."
"Admission_Emergency, Med_Metformin_Prescribed","Med_Change_Yes, Med_Glyburide_Prescribed",0.0225,0.2332,3.194,"Encounters with 'Admission_Emergency, Med_Metformin_Prescribed' frequently exhibit 'Med_Change_Yes, Med_Glyburide_Prescribed' (Lift: 3.19x baseline). Note: Association does not imply causation."
"Admission_Emergency, DiabetesMed_Yes, Med_Metformin_Prescribed","Med_Change_Yes, Med_Glyburide_Prescribed",0.0225,0.2332,3.194,"Encounters with 'Admission_Emergency, DiabetesMed_Yes, Med_Metformin_Prescribed' frequently exhibit 'Med_Change_Yes, Med_Glyburide_Prescribed' (Lift: 3.19x baseline). Note: Association does not imply causation."
"Admission_Emergency, Med_Metformin_Prescribed","Med_Change_Yes, DiabetesMed_Yes, Med_Glyburide_Prescribed",0.0225,0.2332,3.194,"Encounters with 'Admission_Emergency, Med_Metformin_Prescribed' frequently exhibit 'Med_Change_Yes, DiabetesMed_Yes, Med_Glyburide_Prescribed' (Lift: 3.19x baseline). Note: Association does not imply causation."
"Med_Change_Yes, Med_Glyburide_Prescribed","Admission_Emergency, Med_Metformin_Prescribed",0.0225,0.3082,3.194,"Encounters with 'Med_Change_Yes, Med_Glyburide_Prescribed' frequently exhibit 'Admission_Emergency, Med_Metformin_Prescribed' (Lift: 3.19x baseline). Note: Association does not imply causation."
